location,date,sentiment_category,cnt,sentiment_rating
United States,1/28/2020,negative,2255,2
United States,1/28/2020,neutral,485,3
United States,1/28/2020,positive,487,4
United States,1/28/2020,very negative,150,1
United States,1/28/2020,very positive,11,5
United States,1/29/2020,negative,9237,2
United States,1/29/2020,neutral,2199,3
United States,1/29/2020,positive,2244,4
United States,1/29/2020,very negative,751,1
United States,1/29/2020,very positive,39,5
United States,1/30/2020,negative,8762,2
United States,1/30/2020,neutral,2173,3
United States,1/30/2020,positive,2263,4
United States,1/30/2020,very negative,692,1
United States,1/30/2020,very positive,41,5
United States,1/31/2020,negative,9770,2
United States,1/31/2020,neutral,2076,3
United States,1/31/2020,positive,2434,4
United States,1/31/2020,very negative,718,1
United States,1/31/2020,very positive,51,5
United States,2/1/2020,negative,7903,2
United States,2/1/2020,neutral,1870,3
United States,2/1/2020,positive,2072,4
United States,2/1/2020,very negative,508,1
United States,2/1/2020,very positive,37,5
United States,2/2/2020,negative,6670,2
United States,2/2/2020,neutral,1478,3
United States,2/2/2020,positive,1821,4
United States,2/2/2020,very negative,480,1
United States,2/2/2020,very positive,36,5
United States,2/3/2020,negative,5744,2
United States,2/3/2020,neutral,1450,3
United States,2/3/2020,positive,1618,4
United States,2/3/2020,very negative,422,1
United States,2/3/2020,very positive,39,5
United States,2/4/2020,negative,5097,2
United States,2/4/2020,neutral,1329,3
United States,2/4/2020,positive,1554,4
United States,2/4/2020,very negative,413,1
United States,2/4/2020,very positive,44,5
United States,2/5/2020,negative,3617,2
United States,2/5/2020,neutral,927,3
United States,2/5/2020,positive,1016,4
United States,2/5/2020,very negative,203,1
United States,2/5/2020,very positive,24,5
United States,2/6/2020,negative,3000,2
United States,2/6/2020,neutral,806,3
United States,2/6/2020,positive,956,4
United States,2/6/2020,very negative,160,1
United States,2/6/2020,very positive,23,5
United States,2/7/2020,negative,6176,2
United States,2/7/2020,neutral,1300,3
United States,2/7/2020,positive,1420,4
United States,2/7/2020,very negative,451,1
United States,2/7/2020,very positive,35,5
United States,2/8/2020,negative,5581,2
United States,2/8/2020,neutral,1113,3
United States,2/8/2020,positive,1404,4
United States,2/8/2020,very negative,354,1
United States,2/8/2020,very positive,41,5
United States,2/9/2020,negative,4522,2
United States,2/9/2020,neutral,947,3
United States,2/9/2020,positive,1076,4
United States,2/9/2020,very negative,284,1
United States,2/9/2020,very positive,33,5
United States,2/10/2020,negative,4261,2
United States,2/10/2020,neutral,873,3
United States,2/10/2020,positive,952,4
United States,2/10/2020,very negative,259,1
United States,2/10/2020,very positive,21,5
United States,2/11/2020,negative,4654,2
United States,2/11/2020,neutral,1196,3
United States,2/11/2020,positive,1294,4
United States,2/11/2020,very negative,315,1
United States,2/11/2020,very positive,31,5
United States,2/12/2020,negative,5172,2
United States,2/12/2020,neutral,1664,3
United States,2/12/2020,positive,1690,4
United States,2/12/2020,very negative,284,1
United States,2/12/2020,very positive,27,5
United States,2/13/2020,negative,4821,2
United States,2/13/2020,neutral,1384,3
United States,2/13/2020,positive,1610,4
United States,2/13/2020,very negative,244,1
United States,2/13/2020,very positive,38,5
United States,2/14/2020,negative,4604,2
United States,2/14/2020,neutral,1184,3
United States,2/14/2020,positive,1472,4
United States,2/14/2020,very negative,230,1
United States,2/14/2020,very positive,45,5
United States,2/15/2020,negative,3632,2
United States,2/15/2020,neutral,1017,3
United States,2/15/2020,positive,1240,4
United States,2/15/2020,very negative,182,1
United States,2/15/2020,very positive,37,5
United States,2/16/2020,negative,3030,2
United States,2/16/2020,neutral,826,3
United States,2/16/2020,positive,1073,4
United States,2/16/2020,very negative,149,1
United States,2/16/2020,very positive,17,5
United States,2/17/2020,negative,3713,2
United States,2/17/2020,neutral,1185,3
United States,2/17/2020,positive,1303,4
United States,2/17/2020,very negative,155,1
United States,2/17/2020,very positive,21,5
United States,2/18/2020,negative,4613,2
United States,2/18/2020,neutral,1121,3
United States,2/18/2020,positive,1424,4
United States,2/18/2020,very negative,240,1
United States,2/18/2020,very positive,26,5
United States,2/19/2020,negative,4113,2
United States,2/19/2020,neutral,1171,3
United States,2/19/2020,positive,1364,4
United States,2/19/2020,very negative,185,1
United States,2/19/2020,very positive,23,5
United States,2/20/2020,negative,3687,2
United States,2/20/2020,neutral,1031,3
United States,2/20/2020,positive,1263,4
United States,2/20/2020,very negative,178,1
United States,2/20/2020,very positive,31,5
United States,2/21/2020,negative,3710,2
United States,2/21/2020,neutral,1004,3
United States,2/21/2020,positive,1239,4
United States,2/21/2020,very negative,224,1
United States,2/21/2020,very positive,32,5
United States,2/22/2020,negative,4130,2
United States,2/22/2020,neutral,1074,3
United States,2/22/2020,positive,1230,4
United States,2/22/2020,very negative,230,1
United States,2/22/2020,very positive,28,5
United States,2/23/2020,negative,4149,2
United States,2/23/2020,neutral,999,3
United States,2/23/2020,positive,1110,4
United States,2/23/2020,very negative,232,1
United States,2/23/2020,very positive,19,5
United States,2/24/2020,negative,5985,2
United States,2/24/2020,neutral,1497,3
United States,2/24/2020,positive,1736,4
United States,2/24/2020,very negative,406,1
United States,2/24/2020,very positive,28,5
United States,2/25/2020,negative,8860,2
United States,2/25/2020,neutral,2043,3
United States,2/25/2020,positive,2239,4
United States,2/25/2020,very negative,551,1
United States,2/25/2020,very positive,32,5
United States,2/26/2020,negative,15540,2
United States,2/26/2020,neutral,3160,3
United States,2/26/2020,positive,3625,4
United States,2/26/2020,very negative,1088,1
United States,2/26/2020,very positive,53,5
United States,2/27/2020,negative,21116,2
United States,2/27/2020,neutral,4454,3
United States,2/27/2020,positive,4790,4
United States,2/27/2020,very negative,1585,1
United States,2/27/2020,very positive,84,5
United States,2/28/2020,negative,26304,2
United States,2/28/2020,neutral,5281,3
United States,2/28/2020,positive,6089,4
United States,2/28/2020,very negative,1909,1
United States,2/28/2020,very positive,99,5
United States,2/29/2020,negative,28110,2
United States,2/29/2020,neutral,6126,3
United States,2/29/2020,positive,7314,4
United States,2/29/2020,very negative,2074,1
United States,2/29/2020,very positive,155,5
United States,3/1/2020,negative,21207,2
United States,3/1/2020,neutral,4433,3
United States,3/1/2020,positive,4925,4
United States,3/1/2020,very negative,1488,1
United States,3/1/2020,very positive,86,5
United States,3/2/2020,negative,19849,2
United States,3/2/2020,neutral,4572,3
United States,3/2/2020,positive,5639,4
United States,3/2/2020,very negative,1484,1
United States,3/2/2020,very positive,97,5
United States,3/3/2020,negative,26343,2
United States,3/3/2020,neutral,5878,3
United States,3/3/2020,positive,7002,4
United States,3/3/2020,very negative,2044,1
United States,3/3/2020,very positive,133,5
United States,3/4/2020,negative,28401,2
United States,3/4/2020,neutral,6830,3
United States,3/4/2020,positive,8095,4
United States,3/4/2020,very negative,2379,1
United States,3/4/2020,very positive,144,5
United States,3/5/2020,negative,29558,2
United States,3/5/2020,neutral,6879,3
United States,3/5/2020,positive,8633,4
United States,3/5/2020,very negative,2574,1
United States,3/5/2020,very positive,146,5
United States,3/6/2020,negative,31425,2
United States,3/6/2020,neutral,7726,3
United States,3/6/2020,positive,10007,4
United States,3/6/2020,very negative,2713,1
United States,3/6/2020,very positive,221,5
United States,3/7/2020,negative,34512,2
United States,3/7/2020,neutral,8617,3
United States,3/7/2020,positive,10895,4
United States,3/7/2020,very negative,3132,1
United States,3/7/2020,very positive,185,5
United States,3/8/2020,negative,28446,2
United States,3/8/2020,neutral,6512,3
United States,3/8/2020,positive,8427,4
United States,3/8/2020,very negative,2559,1
United States,3/8/2020,very positive,145,5
United States,3/9/2020,negative,39766,2
United States,3/9/2020,neutral,8263,3
United States,3/9/2020,positive,10053,4
United States,3/9/2020,very negative,3582,1
United States,3/9/2020,very positive,185,5
United States,3/10/2020,negative,64533,2
United States,3/10/2020,neutral,13797,3
United States,3/10/2020,positive,16747,4
United States,3/10/2020,very negative,5826,1
United States,3/10/2020,very positive,275,5
United States,3/11/2020,negative,69020,2
United States,3/11/2020,neutral,16813,3
United States,3/11/2020,positive,21309,4
United States,3/11/2020,very negative,6394,1
United States,3/11/2020,very positive,344,5
United States,3/12/2020,negative,130887,2
United States,3/12/2020,neutral,33214,3
United States,3/12/2020,positive,40791,4
United States,3/12/2020,very negative,13747,1
United States,3/12/2020,very positive,640,5
United States,3/13/2020,negative,175956,2
United States,3/13/2020,neutral,46683,3
United States,3/13/2020,positive,62294,4
United States,3/13/2020,very negative,17169,1
United States,3/13/2020,very positive,1201,5
United States,3/14/2020,negative,132307,2
United States,3/14/2020,neutral,37976,3
United States,3/14/2020,positive,54252,4
United States,3/14/2020,very negative,11734,1
United States,3/14/2020,very positive,1172,5
United States,3/15/2020,negative,90739,2
United States,3/15/2020,neutral,26383,3
United States,3/15/2020,positive,38934,4
United States,3/15/2020,very negative,7363,1
United States,3/15/2020,very positive,934,5
United States,3/16/2020,negative,104147,2
United States,3/16/2020,neutral,31491,3
United States,3/16/2020,positive,45602,4
United States,3/16/2020,very negative,8652,1
United States,3/16/2020,very positive,1026,5
United States,3/17/2020,negative,111263,2
United States,3/17/2020,neutral,33153,3
United States,3/17/2020,positive,48507,4
United States,3/17/2020,very negative,10717,1
United States,3/17/2020,very positive,916,5
United States,3/18/2020,negative,111741,2
United States,3/18/2020,neutral,36275,3
United States,3/18/2020,positive,55098,4
United States,3/18/2020,very negative,8461,1
United States,3/18/2020,very positive,1089,5
United States,3/19/2020,negative,112982,2
United States,3/19/2020,neutral,34269,3
United States,3/19/2020,positive,50641,4
United States,3/19/2020,very negative,9889,1
United States,3/19/2020,very positive,1111,5
United States,3/20/2020,negative,115498,2
United States,3/20/2020,neutral,38714,3
United States,3/20/2020,positive,58019,4
United States,3/20/2020,very negative,9169,1
United States,3/20/2020,very positive,1285,5
United States,3/21/2020,negative,82703,2
United States,3/21/2020,neutral,25518,3
United States,3/21/2020,positive,39670,4
United States,3/21/2020,very negative,7237,1
United States,3/21/2020,very positive,1208,5
United States,3/22/2020,negative,89030,2
United States,3/22/2020,neutral,28308,3
United States,3/22/2020,positive,43573,4
United States,3/22/2020,very negative,6796,1
United States,3/22/2020,very positive,1311,5
United States,3/23/2020,negative,99176,2
United States,3/23/2020,neutral,30628,3
United States,3/23/2020,positive,47428,4
United States,3/23/2020,very negative,7974,1
United States,3/23/2020,very positive,1254,5
United States,3/24/2020,negative,99547,2
United States,3/24/2020,neutral,33868,3
United States,3/24/2020,positive,53025,4
United States,3/24/2020,very negative,6838,1
United States,3/24/2020,very positive,1204,5
United States,3/25/2020,negative,108455,2
United States,3/25/2020,neutral,37465,3
United States,3/25/2020,positive,61024,4
United States,3/25/2020,very negative,7506,1
United States,3/25/2020,very positive,1353,5
United States,3/26/2020,negative,107786,2
United States,3/26/2020,neutral,36918,3
United States,3/26/2020,positive,61096,4
United States,3/26/2020,very negative,7298,1
United States,3/26/2020,very positive,1442,5
United States,3/27/2020,negative,109291,2
United States,3/27/2020,neutral,36613,3
United States,3/27/2020,positive,62180,4
United States,3/27/2020,very negative,7882,1
United States,3/27/2020,very positive,2016,5
United States,3/28/2020,negative,94137,2
United States,3/28/2020,neutral,32520,3
United States,3/28/2020,positive,53973,4
United States,3/28/2020,very negative,6693,1
United States,3/28/2020,very positive,1442,5
United States,3/29/2020,negative,88189,2
United States,3/29/2020,neutral,26139,3
United States,3/29/2020,positive,42256,4
United States,3/29/2020,very negative,6959,1
United States,3/29/2020,very positive,1341,5
United States,3/30/2020,negative,98572,2
United States,3/30/2020,neutral,29333,3
United States,3/30/2020,positive,48615,4
United States,3/30/2020,very negative,8188,1
United States,3/30/2020,very positive,1527,5
