location,`date`,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,people_fully_vaccinated_per_hundred
Afghanistan,2021-03-04,55775,5,2446,0,1432.761,0.128,62.833,0.0,38928341,
Afghanistan,2021-03-05,55827,52,2449,3,1434.097,1.336,62.91,0.077,38928341,
Afghanistan,2021-03-06,55840,13,2449,0,1434.431,0.334,62.91,0.0,38928341,
Afghanistan,2021-03-07,55847,7,2449,0,1434.61,0.18,62.91,0.0,38928341,
Afghanistan,2021-03-08,55876,29,2451,2,1435.355,0.745,62.962,0.051,38928341,
Afghanistan,2021-02-25,55680,16,2438,2,1430.32,0.411,62.628,0.051,38928341,
Afghanistan,2021-03-09,55876,0,2451,0,1435.355,0.0,62.962,0.0,38928341,
Afghanistan,2021-03-10,55894,18,2451,0,1435.818,0.462,62.962,0.0,38928341,
Afghanistan,2021-03-11,55917,23,2451,0,1436.409,0.591,62.962,0.0,38928341,
Afghanistan,2021-03-12,55959,42,2454,3,1437.487,1.079,63.039,0.077,38928341,
Afghanistan,2021-03-13,55959,0,2454,0,1437.487,0.0,63.039,0.0,38928341,
Afghanistan,2021-03-14,55985,26,2457,3,1438.155,0.668,63.116,0.077,38928341,
Afghanistan,2021-03-15,55985,0,2459,2,1438.155,0.0,63.167,0.051,38928341,
Afghanistan,2021-03-16,55995,10,2460,1,1438.412,0.257,63.193,0.026,38928341,
Afghanistan,2021-03-17,56016,21,2460,0,1438.952,0.539,63.193,0.0,38928341,
Afghanistan,2021-03-18,56044,28,2462,2,1439.671,0.719,63.244,0.051,38928341,
Afghanistan,2021-03-19,56069,25,2462,0,1440.313,0.642,63.244,0.0,38928341,
Afghanistan,2021-03-20,56093,24,2462,0,1440.93,0.617,63.244,0.0,38928341,
Afghanistan,2021-03-21,56103,10,2463,1,1441.187,0.257,63.27,0.026,38928341,
Afghanistan,2021-03-22,56153,50,2464,1,1442.471,1.284,63.296,0.026,38928341,
Afghanistan,2021-03-23,56177,24,2466,2,1443.087,0.617,63.347,0.051,38928341,
Afghanistan,2021-03-24,56192,15,2466,0,1443.473,0.385,63.347,0.0,38928341,
Afghanistan,2021-03-25,56226,34,2467,1,1444.346,0.873,63.373,0.026,38928341,
Afghanistan,2021-03-26,56254,28,2467,0,1445.065,0.719,63.373,0.0,38928341,
Afghanistan,2021-03-27,56290,36,2469,2,1445.99,0.925,63.424,0.051,38928341,
Afghanistan,2021-02-27,55707,11,2443,1,1431.014,0.283,62.756,0.026,38928341,
Afghanistan,2021-03-28,56294,4,2470,1,1446.093,0.103,63.45,0.026,38928341,
Afghanistan,2021-03-29,56322,28,2472,2,1446.812,0.719,63.501,0.051,38928341,
Afghanistan,2021-03-30,56384,62,2476,4,1448.405,1.593,63.604,0.103,38928341,
Afghanistan,2021-03-31,56454,70,2484,8,1450.203,1.798,63.81,0.206,38928341,
Afghanistan,2021-04-01,56517,63,2489,5,1451.821,1.618,63.938,0.128,38928341,
Afghanistan,2021-04-02,56572,55,2495,6,1453.234,1.413,64.092,0.154,38928341,
Afghanistan,2021-02-23,55646,29,2435,2,1429.447,0.745,62.551,0.051,38928341,
Afghanistan,2021-04-03,56595,23,2496,1,1453.825,0.591,64.118,0.026,38928341,
Afghanistan,2021-04-04,56676,81,2497,1,1455.906,2.081,64.143,0.026,38928341,
Afghanistan,2021-04-05,56717,41,2508,11,1456.959,1.053,64.426,0.283,38928341,
Afghanistan,2021-04-06,56779,62,2512,4,1458.552,1.593,64.529,0.103,38928341,
Afghanistan,2021-04-07,56873,94,2512,0,1460.966,2.415,64.529,0.0,38928341,
Afghanistan,2021-04-08,56943,70,2516,4,1462.765,1.798,64.632,0.103,38928341,
Afghanistan,2021-04-09,57019,76,2521,5,1464.717,1.952,64.76,0.128,38928341,
Afghanistan,2021-04-10,57144,125,2521,0,1467.928,3.211,64.76,0.0,38928341,
Afghanistan,2021-02-24,55664,18,2436,1,1429.909,0.462,62.577,0.026,38928341,
Afghanistan,2021-04-11,57160,16,2521,0,1468.339,0.411,64.76,0.0,38928341,
Afghanistan,2021-04-12,57242,82,2529,8,1470.445,2.106,64.966,0.206,38928341,
Afghanistan,2021-04-13,57364,122,2529,0,1473.579,3.134,64.966,0.0,38928341,
Afghanistan,2021-04-14,57492,128,2532,3,1476.867,3.288,65.043,0.077,38928341,
Afghanistan,2021-04-15,57534,42,2533,1,1477.946,1.079,65.068,0.026,38928341,
Afghanistan,2021-04-16,57612,78,2535,2,1479.95,2.004,65.12,0.051,38928341,
Afghanistan,2021-02-22,55617,13,2433,1,1428.702,0.334,62.499,0.026,38928341,
Afghanistan,2021-04-17,57721,109,2539,4,1482.75,2.8,65.222,0.103,38928341,
Afghanistan,2021-04-18,57793,72,2539,0,1484.6,1.85,65.222,0.0,38928341,
Afghanistan,2021-04-19,57898,105,2546,7,1487.297,2.697,65.402,0.18,38928341,
Afghanistan,2021-04-20,58037,139,2549,3,1490.868,3.571,65.479,0.077,38928341,
Afghanistan,2021-04-21,58214,177,2557,8,1495.414,4.547,65.685,0.206,38928341,
Afghanistan,2021-04-22,58312,98,2561,4,1497.932,2.517,65.788,0.103,38928341,
Afghanistan,2021-02-28,55714,7,2443,0,1431.194,0.18,62.756,0.0,38928341,
Afghanistan,2021-03-01,55733,19,2444,1,1431.682,0.488,62.782,0.026,38928341,
