location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Afghanistan,AFG,2/22/2021,0,0,\N,0,0,
Afghanistan,AFG,2/23/2021,\N,\N,\N,,,
Afghanistan,AFG,2/24/2021,\N,\N,\N,,,
Afghanistan,AFG,2/25/2021,\N,\N,\N,,,
Afghanistan,AFG,2/26/2021,\N,\N,\N,,,
Afghanistan,AFG,2/27/2021,\N,\N,\N,,,
Afghanistan,AFG,2/28/2021,8200,8200,\N,0.02,0.02,
Afghanistan,AFG,3/1/2021,\N,\N,\N,,,
Afghanistan,AFG,3/10/2021,\N,\N,\N,,,
Afghanistan,AFG,3/11/2021,\N,\N,\N,,,
Afghanistan,AFG,3/12/2021,\N,\N,\N,,,
Afghanistan,AFG,3/13/2021,\N,\N,\N,,,
Afghanistan,AFG,3/14/2021,\N,\N,\N,,,
Afghanistan,AFG,3/15/2021,\N,\N,\N,,,
Afghanistan,AFG,3/16/2021,54000,54000,\N,0.14,0.14,
Afghanistan,AFG,3/17/2021,\N,\N,\N,,,
Afghanistan,AFG,3/18/2021,\N,\N,\N,,,
Afghanistan,AFG,3/19/2021,\N,\N,\N,,,
Afghanistan,AFG,3/2/2021,\N,\N,\N,,,
Afghanistan,AFG,3/20/2021,\N,\N,\N,,,
Afghanistan,AFG,3/21/2021,\N,\N,\N,,,
Afghanistan,AFG,3/22/2021,\N,\N,\N,,,
Afghanistan,AFG,3/23/2021,\N,\N,\N,,,
Afghanistan,AFG,3/24/2021,\N,\N,\N,,,
Afghanistan,AFG,3/25/2021,\N,\N,\N,,,
Afghanistan,AFG,3/26/2021,\N,\N,\N,,,
Afghanistan,AFG,3/27/2021,\N,\N,\N,,,
Afghanistan,AFG,3/28/2021,\N,\N,\N,,,
Afghanistan,AFG,3/29/2021,\N,\N,\N,,,
Afghanistan,AFG,3/3/2021,\N,\N,\N,,,
Afghanistan,AFG,3/30/2021,\N,\N,\N,,,
Afghanistan,AFG,3/31/2021,\N,\N,\N,,,
Afghanistan,AFG,3/4/2021,\N,\N,\N,,,
Afghanistan,AFG,3/5/2021,\N,\N,\N,,,
Afghanistan,AFG,3/6/2021,\N,\N,\N,,,
Afghanistan,AFG,3/7/2021,\N,\N,\N,,,
Afghanistan,AFG,3/8/2021,\N,\N,\N,,,
Afghanistan,AFG,3/9/2021,\N,\N,\N,,,
Afghanistan,AFG,4/1/2021,\N,\N,\N,,,
Afghanistan,AFG,4/10/2021,\N,\N,\N,,,
Afghanistan,AFG,4/11/2021,\N,\N,\N,,,
Afghanistan,AFG,4/12/2021,\N,\N,\N,,,
Afghanistan,AFG,4/13/2021,\N,\N,\N,,,
